1614127630
Time, TempA, TempB
2570, 69.2, 69.2
2580, 69.2, 69.2
2590, 69.2, 69.2
2601, 69.2, 69.2
2611, 69.2, 69.2
2621, 69.2, 69.2
2631, 69.2, 69.2
2641, 69.2, 69.2
2652, 69.2, 69.2
2662, 69.2, 69.2
2672, 69.2, 69.2
2682, 69.2, 69.2
2692, 69.2, 69.2
2703, 69.2, 69.2
2713, 69.2, 69.2
2723, 69.2, 69.2
2733, 69.2, 69.2
2743, 69.2, 69.2
2754, 69.2, 69.2
2764, 69.2, 69.2
2774, 69.2, 69.2
2784, 69.2, 69.2
2794, 69.2, 69.2
2805, 69.2, 69.2
2815, 69.2, 69.2
2825, 69.2, 69.2
2835, 69.2, 69.2
2845, 69.2, 69.2
2856, 69.2, 69.2
2866, 69.2, 69.2
2876, 69.2, 69.2
2886, 69.2, 69.2
2896, 69.2, 69.2
2907, 69.2, 69.2
2917, 69.2, 69.2
2927, 69.2, 69.2
2937, 69.2, 69.2
2947, 69.2, 69.2
2958, 69.2, 69.2
2968, 69.2, 69.2
2978, 69.2, 69.2
2988, 69.2, 69.2
2999, 69.2, 69.2
3009, 69.2, 69.2
3019, 69.2, 69.2
3029, 69.2, 69.2
3039, 69.2, 69.2
3049, 69.2, 69.2
3060, 69.2, 69.2
3070, 69.2, 69.2
3080, 69.2, 69.2
3090, 69.2, 69.2
3100, 69.2, 69.2
3111, 69.2, 69.2
3121, 69.2, 69.2
3131, 69.2, 69.2
3141, 69.2, 69.2
3151, 69.2, 69.2
3161, 69.2, 69.2
3172, 69.2, 69.2
3182, 69.2, 69.2
3192, 69.2, 69.2
3202, 69.2, 69.2
3212, 69.2, 69.2
3223, 69.2, 69.2
3233, 69.2, 69.2
3243, 69.2, 69.2
3253, 69.2, 69.2
3264, 69.2, 69.2
3274, 69.2, 69.2
3284, 69.2, 69.2
3294, 69.2, 69.2
3304, 69.2, 69.2
3315, 69.2, 69.2
3325, 69.2, 69.2
3335, 69.2, 69.2
3345, 69.2, 69.2
3355, 69.2, 69.2
3366, 69.2, 69.2
3376, 69.2, 69.2
3386, 69.2, 69.2
3396, 69.2, 69.2
3406, 69.2, 69.2
3417, 69.2, 69.2
3427, 69.2, 69.2
3437, 69.2, 69.2
3447, 69.2, 69.2
3458, 69.2, 69.2
3468, 69.2, 69.2
3478, 69.1, 69.1
3488, 69.2, 69.2
3498, 69.2, 69.2
3508, 69.2, 69.2
3519, 69.2, 69.2
3529, 69.2, 69.2
3539, 69.2, 69.2
3549, 69.2, 69.2
3559, 69.2, 69.2
3570, 69.2, 69.2
3580, 69.2, 69.2
3590, 69.2, 69.2
3600, 69.2, 69.2
3610, 69.2, 69.1
3621, 69.2, 69.2
3631, 69.2, 69.2
3641, 69.1, 69.1
3651, 69.2, 69.2
3661, 69.2, 69.2
3672, 69.2, 69.2
3682, 69.2, 69.2
3692, 69.2, 69.2
3702, 69.2, 69.2
3712, 69.2, 69.2
3723, 69.2, 69.2
3733, 69.2, 69.2
3743, 69.2, 69.2
3753, 69.2, 69.2
3763, 69.2, 69.2
3773, 69.2, 69.2
3784, 69.2, 69.2
3794, 69.2, 69.2
3804, 69.2, 69.2
3814, 69.2, 69.2
3825, 69.2, 69.2
3835, 69.2, 69.2
3845, 69.2, 69.2
3855, 69.2, 69.2
3865, 69.2, 69.2
3876, 69.2, 69.2
3886, 69.2, 69.2
3896, 69.2, 69.2
3906, 69.2, 69.2
3916, 69.2, 69.2
3926, 69.2, 69.2
3937, 69.2, 69.2
3947, 69.2, 69.2
3957, 69.2, 69.2
3967, 69.2, 69.2
3978, 69.2, 69.2
3988, 69.2, 69.2
3998, 69.2, 69.2
4008, 69.2, 69.2
4018, 69.2, 69.2
4029, 69.2, 69.2
4039, 69.2, 69.2
4049, 69.2, 69.2
4059, 69.2, 69.2
4069, 69.2, 69.2
4080, 69.2, 69.2
4090, 69.2, 69.2
4100, 69.2, 69.2
4110, 69.2, 69.2
4121, 69.2, 69.2
4131, 69.2, 69.2
4141, 69.2, 69.2
4151, 69.2, 69.2
4161, 69.2, 69.2
4172, 69.2, 69.2
4182, 69.2, 69.2
4192, 69.2, 69.2
4202, 69.2, 69.2
4212, 69.1, 69.1
4222, 69.2, 69.2
4233, 69.1, 69.1
4243, 69.1, 69.1
4253, 69.2, 69.2
4263, 69.2, 69.2
4274, 69.2, 69.2
4284, 69.2, 69.2
4294, 69.2, 69.2
4304, 69.2, 69.2
4314, 69.2, 69.2
4325, 69.2, 69.2
4335, 69.2, 69.1
4345, 69.1, 69.1
4355, 69.1, 69.1
4366, 69.1, 69.1
4376, 69.2, 69.1
4386, 69.2, 69.2
4396, 69.2, 69.2
4406, 69.2, 69.2
4417, 69.2, 69.2
4427, 69.2, 69.2
4437, 69.1, 69.1
4447, 69.1, 69.1
4457, 69.1, 69.1
4468, 69.1, 69.1
4478, 69.1, 69.1
4488, 69.1, 69.1
4498, 69.1, 69.1
4509, 69.1, 69.1
4519, 69.1, 69.1
4529, 69.1, 69.1
4539, 69.1, 69.1
4549, 69.1, 69.2
4560, 69.1, 69.1
